BoardName;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
REGIONS FINANCIAL CORP;4674;35044;7591EP10;RF;31/12/2019;7;7;6;1;0,857142857;0,93;0,02;0,11;0,11;0,87;6,75
ROBERT HALF INC (Robert Half International Inc prior to 07/2023);2312;52230;77032310;RHI;31/12/2019;3;3;2;1;0,666666667;0,16;0,33;0,41;0,5;0,51;1,02
ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015);24925;77338;77669610;ROP;31/12/2019;5;5;3;1;0,6;0,29;0,12;0,18;0,11;0,48;0,91
RANGE RESOURCES CORP;6788;50017;75281A10;RRC;31/12/2019;4;4;4;1;1;2,07;-0,02;-0,47;-0,29;0,64;1,82
R R DONNELLEY & SONS CO (De-listed 02/2022);4040;38682;25786720;RRD;31/12/2019;3;3;3;1;1;;0,12;;0,14;1,11;-9,64
REPUBLIC SERVICES INC;112168;86228;76075910;RSG;31/12/2019;5;4;3;0,8;0,6;0,28;0,13;0,13;0,11;0,64;1,79
CHARLES SCHWAB CORP;13988;75186;80851310;SCHW;31/12/2019;5;4;5;0,8;1;0,31;0,02;0,2;0,2;0,93;12,49
SEALED AIR CORP;9555;85926;81211K10;SEE;31/12/2019;5;4;2;0,8;0,4;;0,17;;0,22;1,03;-30,38
SHERWIN-WILLIAMS CO;9667;36468;82434810;SHW;31/12/2019;5;5;4;1;0,8;0,09;0,15;0,31;0,18;0,8;3,97
SLM CORP (SALLIE MAE);20430;66325;78442P10;SLM;31/12/2019;8;8;4;1;0,5;0,78;0,03;0,21;0,12;0,9;8,87
SNAP-ON INC;9778;60206;83303410;SNA;31/12/2019;4;4;4;1;1;0,38;0,19;0,21;0,21;0,4;0,66
SOUTHERN CO;9850;18411;84258710;SO;31/12/2019;4;4;1;1;0,25;0,56;0,07;0,13;0,07;0,73;3,12
STERICYCLE INC;63527;83906;85891210;SRCL;31/12/2019;4;4;2;1;0,5;0,45;0,07;-0,13;0,04;0,64;1,76
SEMPRA (Sempra Energy prior to 05/2023);8272;86136;81685110;SRE;31/12/2019;7;7;2;1;0,285714286;0,46;0,07;0,1;0,06;0,67;2,2
STANLEY BLACK & DECKER INC;10016;43350;85450210;SWK;31/12/2019;5;4;3;0,8;0,6;0,33;0,12;0,12;0,15;0,56;1,25
SOUTHWESTERN ENERGY CO;9904;63765;84546710;SWN;31/12/2019;6;3;5;0,5;0,833333333;2,48;0,12;0,32;0,06;0,52;1,07
STRYKER CORP;10115;73139;86366710;SYK;31/12/2019;4;4;3;1;0,75;0,16;0,15;0,17;0,15;0,58;1,36
AT&T INC (SBC Communications Inc prior to 11/2005);9899;66093;00206R10;T;31/12/2019;4;3;2;0,75;0,5;0,86;0,11;0,06;0,08;0,63;1,9
TERADATA CORP;178310;92293;88076W10;TDC;31/12/2019;5;4;2;0,8;0,4;0,09;0,1;-0,05;0,06;0,87;6,85
TERADYNE INC;10453;51369;88077010;TER;31/12/2019;3;1;3;0,333333333;1;0,13;0,24;0,31;0,28;0,47;0,88
TENET HEALTHCARE CORP;7750;52337;88033G40;THC;31/12/2019;6;6;4;1;0,666666667;;0,11;;0,11;0,91;-57,58
THERMO FISHER SCIENTIFIC INC (Thermo Electron Corp prior to 11/2006);10530;62092;88355610;TMO;31/12/2019;4;3;2;0,75;0,5;0,25;0,11;0,12;0,09;0,49;0,97
TRIPADVISOR INC;199356;13168;89694520;TRIP;31/12/2019;3;3;3;1;1;0,28;0,15;0,09;0,14;0,41;0,71
T ROWE PRICE GROUP INC;12138;10138;74144T10;TROW;31/12/2019;6;6;4;1;0,666666667;0,25;0,3;0,32;0,36;0,12;0,16
THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007);62689;59459;89417E10;TRV;31/12/2019;6;5;4;0,833333333;0,666666667;0,75;0,04;0,11;0,1;0,76;3,24
TEXAS INSTRUMENTS INC;10499;15579;88250810;TXN;31/12/2019;4;4;1;1;0,25;0,08;0,38;0,56;0,39;0,51;1,02
UNITEDHEALTH GROUP INC;10903;92655;91324P10;UNH;31/12/2019;3;3;3;1;1;0,22;0,14;0,24;0,21;0,64;1,94
UNUM GROUP (UnumProvident Corp prior to 03/2007);12726;71175;91529Y10;UNM;31/12/2019;6;6;6;1;1;1,7;0,03;0,12;0,13;0,85;5,72
UNION PACIFIC CORP;10867;48725;90781810;UNP;31/12/2019;7;6;2;0,857142857;0,285714286;0,24;0,18;0,19;0,19;0,71;2,4
UNITED PARCEL SERVICE (UPS) INC;10920;87447;91131210;UPS;31/12/2019;4;3;4;0,75;1;0,05;0,19;0,93;0,29;0,94;16,7
VALERO ENERGY CORP;15247;85269;91913Y10;VLO;31/12/2019;3;3;3;1;1;0,7;0,1;0,09;0,12;0,58;1,44
VULCAN MATERIALS CO;11228;15202;92916010;VMC;31/12/2019;4;4;2;1;0,5;0,33;0,12;0,1;0,1;0,47;0,89
VERISIGN INC;66368;85753;92343E10;VRSN;31/12/2019;3;2;3;0,666666667;1;;0,45;;2,3;1,8;-2,24
VERIZON COMMUNICATIONS INC;2136;65875;92343V10;VZ;31/12/2019;5;4;4;0,8;0,8;0,38;0,17;0,21;0,17;0,78;3,73
WATERS CORP;61574;82651;94184810;WAT;31/12/2019;4;4;4;1;1;;0,26;;0,34;1,08;-12,82
WELLS FARGO & CO;8007;38703;94974610;WFC;31/12/2019;5;0;4;0;0,8;0,78;0,02;0,11;0,08;0,9;9,24
WHIRLPOOL CORP;11465;25419;96332010;WHR;31/12/2019;6;4;2;0,666666667;0,333333333;0,35;0,1;0,43;0,14;0,78;4,62
WASTE MANAGEMENT INC;14477;11955;94106L10;WM;31/12/2019;6;5;5;0,833333333;0,833333333;0,18;0,18;0,21;0,15;0,75;2,92
WILLIAMS COMPANIES INC;11506;38156;96945710;WMB;31/12/2019;6;6;5;1;0,833333333;0,53;0,09;0,06;0,07;0,64;2,22
WPX ENERGY INC (De-listed 01/2021);187128;13141;98212B10;WPX;31/12/2019;3;3;3;1;1;0,84;0,14;0,06;0,03;0,46;0,86
WESTERN UNION CO;175263;91461;95980210;WU;31/12/2019;7;5;1;0,714285714;0,142857143;;0,15;;0,33;1;-222,73
WYNN RESORTS LTD;149318;89533;98313410;WYNN;31/12/2019;3;3;2;1;0,666666667;0,12;0,11;0,07;0,08;0,89;7,07
UNITED STATES STEEL CORP;23978;76644;91290910;X;31/12/2019;8;8;5;1;0,625;2,11;0,05;-0,15;-0,01;0,65;1,84
XCEL ENERGY INC;7977;23931;98389B10;XEL;31/12/2019;6;5;3;0,833333333;0,5;0,53;0,08;0,08;0,07;0,74;2,81
EXXON MOBIL CORP;4503;11850;30231G10;XOM;31/12/2019;3;3;3;1;1;0,74;0,09;0,07;0,05;0,45;0,85
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019);11636;27983;98421M10;XRX;31/12/2019;4;4;4;1;1;0,72;0,11;0,12;0,12;0,61;1,6
XYLEM INC;189491;13035;98419M10;XYL;31/12/2019;5;5;3;1;0,6;0,23;0,13;0,13;0,14;0,62;1,6
YUM! BRANDS INC (Tricon Global Restaurants Inc prior to 05/2002);65417;85348;98849810;YUM;31/12/2019;5;5;1;1;0,2;;0,45;;0,72;2,53;-1,65
ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018);11687;84129;98970110;ZION;31/12/2019;4;4;4;1;1;0,79;0,02;0,12;0,1;0,89;8,41
