BoardName;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
ROBERT HALF INC (Robert Half International Inc prior to 07/2023);2312;52230;77032310;RHI;31/12/2018;3;3;2;1;0,666666667;0,16;0,35;0,4;0,54;0,44;0,79
ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015);24925;77338;77669610;ROP;31/12/2018;4;4;3;1;0,75;0,31;0,12;0,12;0,11;0,49;0,97
RANGE RESOURCES CORP;6788;50017;75281A10;RRC;31/12/2018;4;4;4;1;1;1,98;0,12;-0,31;0,01;0,58;1,39
R R DONNELLEY & SONS CO (De-listed 02/2022);4040;38682;25786720;RRD;31/12/2018;4;4;4;1;1;;0,11;;0,14;1,07;-14,94
REPUBLIC SERVICES INC;112168;86228;76075910;RSG;31/12/2018;6;6;3;1;0,5;0,34;0,13;0,13;0,1;0,63;1,73
CHARLES SCHWAB CORP;13988;75186;80851310;SCHW;31/12/2018;6;5;5;0,833333333;0,833333333;0,32;0,02;0,21;0,16;0,93;13,31
SEALED AIR CORP;9555;85926;81211K10;SEE;31/12/2018;6;6;3;1;0,5;;0,17;;0,22;1,07;-15,49
SHERWIN-WILLIAMS CO;9667;36468;82434810;SHW;31/12/2018;4;4;3;1;0,75;0,13;0,16;0,22;0,19;0,81;4,13
SLM CORP (SALLIE MAE);20430;66325;78442P10;SLM;31/12/2018;6;6;3;1;0,5;0,71;0,03;0,21;0,11;0,89;7,96
SNAP-ON INC;9778;60206;83303410;SNA;31/12/2018;3;3;3;1;1;0,39;0,2;0,22;0,23;0,42;0,73
SOUTHERN CO;9850;18411;84258710;SO;31/12/2018;6;6;2;1;0,333333333;0,74;0,07;0,07;0,07;0,75;3,5
STERICYCLE INC;63527;83906;85891210;SRCL;31/12/2018;6;6;2;1;0,333333333;0,87;0,09;-0,09;0,06;0,6;1,49
SEMPRA (Sempra Energy prior to 05/2023);8272;86136;81685110;SRE;31/12/2018;6;6;1;1;0,166666667;0,59;0,07;0,06;0,07;0,68;2,41
STANLEY BLACK & DECKER INC;10016;43350;85450210;SWK;31/12/2018;6;6;4;1;0,666666667;0,43;0,11;0,08;0,15;0,6;1,48
SOUTHWESTERN ENERGY CO;9904;63765;84546710;SWN;31/12/2018;4;3;4;0,75;1;1,27;0,24;0,25;0,18;0,59;1,45
STRYKER CORP;10115;73139;86366710;SYK;31/12/2018;5;5;4;1;0,8;0,2;0,15;0,33;0,16;0,57;1,32
AT&T INC (SBC Communications Inc prior to 11/2005);9899;66093;00206R10;T;31/12/2018;4;4;2;1;0,5;1,16;0,12;0,09;0,08;0,64;1,84
TERADATA CORP;178310;92293;88076W10;TDC;31/12/2018;4;3;1;0,75;0,25;0,11;0,09;0,05;0,07;0,79;3,77
TERADYNE INC;10453;51369;88077010;TER;31/12/2018;3;1;3;0,333333333;1;0,28;0,2;0,26;0,23;0,44;0,78
TENET HEALTHCARE CORP;7750;52337;88033G40;THC;31/12/2018;8;8;6;1;0,75;;0,11;;0,11;0,91;-170,61
THERMO FISHER SCIENTIFIC INC (Thermo Electron Corp prior to 11/2006);10530;62092;88355610;TMO;31/12/2018;4;4;3;1;0,75;0,33;0,11;0,1;0,08;0,51;1,04
TRIPADVISOR INC;199356;13168;89694520;TRIP;31/12/2018;3;3;3;1;1;0,2;0,14;0,08;0,12;0,32;0,47
T ROWE PRICE GROUP INC;12138;10138;74144T10;TROW;31/12/2018;6;6;3;1;0,5;0,28;0,33;0,31;0,39;0,11;0,13
THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007);62689;59459;89417E10;TRV;31/12/2018;6;5;4;0,833333333;0,666666667;0,73;0,04;0,11;0,1;0,78;3,55
TOTAL SYSTEM SERVICES INC (TSYS) (De-listed 09/2019);10631;76639;89190610;TSS;31/12/2018;3;1;1;0,333333333;0,333333333;0,2;0,18;0,21;0,14;0,65;1,89
TEXAS INSTRUMENTS INC;10499;15579;88250810;TXN;31/12/2018;5;5;1;1;0,2;0,1;0,44;0,57;0,47;0,48;0,91
TEXTRON INC;10519;23579;88320310;TXT;31/12/2018;9;9;5;1;0,555555556;0,49;0,1;0,22;0,12;0,64;1,75
UNITEDHEALTH GROUP INC;10903;92655;91324P10;UNH;31/12/2018;5;5;5;1;1;0,23;0,14;0,23;0,21;0,63;1,86
UNUM GROUP (UnumProvident Corp prior to 03/2007);12726;71175;91529Y10;UNM;31/12/2018;5;4;5;0,8;1;1,37;0,01;0,06;0,06;0,86;6,18
UNION PACIFIC CORP;10867;48725;90781810;UNP;31/12/2018;6;5;3;0,833333333;0,5;0,32;0,18;0,18;0,2;0,65;1,9
UNITED PARCEL SERVICE (UPS) INC;10920;87447;91131210;UPS;31/12/2018;5;4;5;0,8;1;0,06;0,2;1,5;0,29;0,94;15,55
VALERO ENERGY CORP;15247;85269;91913Y10;VLO;31/12/2018;4;3;3;0,75;0,75;0,85;0,12;0,12;0,14;0,55;1,27
VULCAN MATERIALS CO;11228;15202;92916010;VMC;31/12/2018;4;4;2;1;0,5;0,44;0,12;0,09;0,1;0,47;0,89
VERISIGN INC;66368;85753;92343E10;VRSN;31/12/2018;3;2;3;0,666666667;1;;0,34;;0,99;1,72;-2,38
VERIZON COMMUNICATIONS INC;2136;65875;92343V10;VZ;31/12/2018;6;4;5;0,666666667;0,833333333;0,37;0,18;0,19;0,18;0,79;3,95
WATERS CORP;61574;82651;94184810;WAT;31/12/2018;4;4;4;1;1;0,11;0,19;0,31;0,21;0,58;1,38
WHIRLPOOL CORP;11465;25419;96332010;WHR;31/12/2018;6;6;1;1;0,166666667;0,34;0,1;-0,06;0,15;0,83;6,61
WASTE MANAGEMENT INC;14477;11955;94106L10;WM;31/12/2018;6;6;5;1;0,833333333;0,2;0,19;0,26;0,17;0,72;2,61
WILLIAMS COMPANIES INC;11506;38156;96945710;WMB;31/12/2018;7;6;6;0,857142857;0,857142857;0,61;0,08;-0,01;0,06;0,65;2
WPX ENERGY INC (De-listed 01/2021);187128;13141;98212B10;WPX;31/12/2018;5;5;5;1;1;0,94;0,17;0,06;0,08;0,48;0,91
WESTERN UNION CO;175263;91461;95980210;WU;31/12/2018;6;5;1;0,833333333;0,166666667;;0,15;;0,4;1,03;-30,04
WYNN RESORTS LTD;149318;89533;98313410;WYNN;31/12/2018;7;7;4;1;0,571428571;0,19;0,14;0,38;0,11;0,86;5,61
UNITED STATES STEEL CORP;23978;76644;91290910;X;31/12/2018;6;6;3;1;0,5;1,32;0,15;0,3;0,16;0,62;1,61
XCEL ENERGY INC;7977;23931;98389B10;XEL;31/12/2018;5;3;2;0,6;0,4;0,65;0,08;0,08;0,07;0,73;2,76
EXXON MOBIL CORP;4503;11850;30231G10;XOM;31/12/2018;3;3;3;1;1;0,76;0,12;0,1;0,1;0,43;0,77
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019);11636;27983;98412160;XRX;31/12/2018;7;7;6;1;0,857142857;1,12;0,11;0,07;0,12;0,65;1,86
XYLEM INC;189491;13035;98419M10;XYL;31/12/2018;5;5;2;1;0,4;0,26;0,14;0,19;0,15;0,61;1,6
YUM! BRANDS INC (Tricon Global Restaurants Inc prior to 05/2002);65417;85348;98849810;YUM;31/12/2018;6;6;1;1;0,166666667;;0,53;;0,82;2,92;-1,52
ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018);11687;84129;98970110;ZION;31/12/2018;4;4;4;1;1;0,92;0,02;0,13;0,1;0,89;8,07
